Warehouse,Name,City,State,Region,Export,Port,ESO,Flat Bed Fees,Late Fees,Transportation Adjust,Misc  Fees,Consol Interest
467005,FCW- Belzoni,Belzoni,MS,Memphis Rule 5,MR5,Memphis,0,0,0,0,0,0
470012,North Delta Compress and Warehouse Company,Clarksdale,MS,Memphis Rule 5,MR5,Memphis,0,0,0,0,0,0
476505,FCW- Greenwood #1,Greenwood,MS,Memphis Rule 5,MR5,Memphis,0,0,0,0,0,0
476510,Federal Compress Greenwood #2,Greenwood,MS,Memphis Rule 5,MR5,Memphis,0,0,0,0,0,0
476512,Staplcotn/Rising Sun,Greenwood,MS,Memphis Rule 5,MR5,Memphis,0,0,0,0,0,0
477005,Federal Compress Grenada,Grenada,MS,Memphis Rule 5,MR5,Memphis,0,0,0,0,0,0
480505,Staplcotn/Indianola,Indianola,MS,Memphis Rule 5,MR5,Memphis,0,0,0,0,0,0
481005,Federal Compress Inverness #1,Inverness,MS,Memphis Rule 5,MR5,Memphis,0,0,0,0,0,0
481010,Federal Compress Inverness #2,Inverness,MS,Memphis Rule 5,MR5,Memphis,0,0,0,0,0,0
490150,Anderson Clayton Desoto Warehouse,Olive Branch,MS,Memphis Rule 5,MR5,Memphis,0,0,0,0,0,0
499502,Staplcotn/Tunica,Tunica,MS,Memphis Rule 5,MR5,Memphis,0,0,0,0,0,0
516004,Caruthersville Cotton Warehouse,Caruthersville,MO,Memphis Rule 5,MR5,Memphis,0,0,0,0,0,0
517010,Federal Compress Hayti,Hayti,MO,Memphis Rule 5,MR5,Memphis,0,0,0,0,0,0
517813,Sandy Ridge Cotton Warehouse,Malden,MO,Memphis Rule 5,MR5,Memphis,0,0,0,0,0,0
517814,Bernie Farmers Gin Warehouse,Malden,MO,Memphis Rule 5,MR5,Memphis,0,0,0,0,0,0
518085,Bootheel Cotton Warehouse,New Madrid,MO,Memphis Rule 5,MR5,Memphis,0,0,0,0,0,0
518505,Federal Compress Portageville,Portageville,MO,Memphis Rule 5,MR5,Memphis,0,0,0,0,0,0
518510,Missouri Cotton Warehouse,Portageville,MO,Memphis Rule 5,MR5,Memphis,0,0,0,0,0,0
536304,Deming Bonded Warehouse,Deming,NM,Southwest,WTX,Los Angeles,0,0,0,0,0,0
538013,Plains Cotton Cooperative Association,Lovington,NM,Southwest,WTX,Los Angeles,1,1,0.25,0,0,0
548900,Mesa Farmers Cooperative Inc,Vado,NM,Southwest,WTX,Los Angeles,0,0,0,0,0,0
555225,Rolling Hills Bonded Warehouse,New London,NC,Eastern Rule 5,ER5,Savannah,0,0,0,0,0,0
558070,Pitt County Gin and Cotton Co.,Bethel,NC,Eastern Rule 5,ER5,Savannah,0,0,0,0,0,0
562665,Cotton Growers Warehouses Inc,Chocowinity,NC,Eastern Rule 5,ER5,Savannah,0,0,0,0,0,0
562865,Clarkton Bonded Warehouse,Clarkton,NC,Eastern Rule 5,ER5,Savannah,0,0,0,0,0,0
565545,"Quality Bonded Warehouse, LLC",Dunn,NC,Eastern Rule 5,ER5,Savannah,0,0,0,0,0,0
565803,Elm City Warehouse,Elm City,NC,Eastern Rule 5,ER5,Savannah,0,0,0,0,0,0
565805,Silver Lake Bale Storage 1,Elm City,NC,Eastern Rule 5,ER5,Savannah,0,0,0,0,0,0
565806,Davis Bonded Warehouse,Hobgood,NC,Eastern Rule 5,ER5,Savannah,0,0,0,0,0,0
565807,Staplcotn- Edenton 2-3090,Edenton,NC,Eastern Rule 5,ER5,Savannah,0,0,0,0,0,0
566501,Albemarle Cotton Growers,Edenton,NC,Eastern Rule 5,ER5,Savannah,0,0,0,0,0,0
566505,Edenton Bonded Warehouse,Tyner,NC,Eastern Rule 5,ER5,Savannah,0,0,0,0,0,0
568010,Enfield Bonded Warehouse,Enfield,NC,Eastern Rule 5,ER5,Savannah,0,0,0,0,0,0
568016,Roanoke Tar Cotton Warehouse,Everetts,NC,Eastern Rule 5,ER5,Savannah,0,0,0,0,0,0
568017,Staplcotn Compress Warehouse,Erwin,NC,Eastern Rule 5,ER5,Savannah,0,0,0,0,0,0
570240,Stallings Farms Agribusiness,Herford,NC,Eastern Rule 5,ER5,Savannah,0,0,0,0,0,0
570440,Gaston Cooperative Inc,Garysburg,NC,Eastern Rule 5,ER5,Savannah,0,0,0,0,0,0
570505,P and M - Avon Bonded Warehouse,Gastonia,NC,Eastern Rule 5,ER5,Savannah,0,0,0,0,0,0
570507,Broad Street Bonded Warehouse,Gastonia,NC,Eastern Rule 5,ER5,Savannah,0,0,0,0,0,0
570620,Gates Cotton Gin Warehouse,Gates,NC,Eastern Rule 5,ER5,Savannah,0,0,0,0,0,0
571536,Ward & Nixon Warehouse,Gatesville,NC,Eastern Rule 5,ER5,Savannah,0,0,0,0,0,0
576503,Cotton Growers Warehouses Inc,Jackson,NC,Eastern Rule 5,ER5,Savannah,0,0,0,0,0,0
577277,Jones County Cotton Gin Inc,Trenton,NC,Eastern Rule 5,ER5,Savannah,0,0,0,0,0,0
578010,Harvey Gin and Cotton Company,Kinston,NC,Eastern Rule 5,ER5,Savannah,0,0,0,0,0,0
582003,Cotton Growers Warehouses Inc,Lumberton,NC,Eastern Rule 5,ER5,Savannah,0,0,0,0,0,0
587875,Producers Gin Bonded Warehouse,Murfreesboro,NC,Eastern Rule 5,ER5,Savannah,0,0,0,0,0,0
589209,"Sampson Gin Company, Inc.",Newton Grove,NC,Eastern Rule 5,ER5,Savannah,0,0,0,0,0,0
590610,Coastal Carolina Gin,Pantego,NC,Eastern Rule 5,ER5,Savannah,0,0,0,0,0,0
593005,Hoke Cotton Warehouse and Storage,Raeford,NC,Eastern Rule 5,ER5,Savannah,0,0,0,0,0,0
596010,Rosemary Bonded Warehouse,Roanoke Rapids,NC,Eastern Rule 5,ER5,Savannah,0,0,0,0,0,0
600505,Edwards Bonded Warehouse,Scotland Neck,NC,Eastern Rule 5,ER5,Savannah,0,0,0,0,0,0
