Warehouse|Name|City|State|ESO|Flat Bed Fees|Late Fees|Transportation Adjust|Misc Fees|Grace Period
911525|Plainview Cooperative Compress #6|Plainview|TX||||||
911533|HCC-Plainview|Plainview|TX||||||
913030|Panhandle Compress|Post|TX||||||
913054|Supply Chain Management LLC.|Pasadena|TX||||||
913055|Amarillo Cotton Warehouse Tulia|Tulia|TX||||||
914510|Panhandle Comp Quanah|Quanah|TX||||||
916501|Ralls Compress and Warehouse|Ralls|TX||||||
916710|Gulf Compress #5|Raymondville|TX|1|1||||
916711|Gulf Compress #6|Raymondville|TX|1|1||||
916712|Gulf Compress (North Plant#7)|Raymondville|TX|1|1||||
925011|Dallas Warehouse Company, LLC|Grand Prairie|TX||||||
925012|Plains Cotton Cooperative Association|Rule|TX|1|1|0.25|||3 days
925013|CIL Warehouse|Willacy County|TX||||||
926005|Ballinger Cotton Warehouse Co.|San Angelo|TX||||||
928532|Seagraves Compress|Seagraves|TX||||||
928715|Willacy Cotton Warehouse|Sebastian|TX||||||
935002|Stanton Compress and Warehouse|Stanton|TX||||||
936006|FCC-Sudan|Sudan|TX||||||
937530|Plains Cotton Cooperative Association|Sweetwater|TX|1|1|0.25|||3 days
937534|Ballinger Cotton Warehouse Co. - Plant 3|Snyder|TX||||||
937535|Oasis Warehouse LLC|Seminole|TX||||||
939033|Tahoka Warehouse|Tahoka|TX||||||
940015|Taylor Compress|Taylor|TX||||||
940025|Taylor Compress Plant #3|Taylor|TX||||||
944344|Valley Gin Company|Tornillo|TX||||||
944708|Tulia Cotton Warehouse|Tulia|TX||||||
947505|Vernon Compress Company|Vernon|TX||||||
976503|Hawkins Bonded Warehouse|Emporia|VA||||||
976505|Mid-Atlantic Warehouse and Gin|Emporia|VA||||||
985505|Suffolk Cotton Gin Warehouse|Suffolk|VA||||||
998008|Commonwealth Cotton Warehouse|Windsor|VA||||||
