Warehouse,Region,Export,Port,Name,City,State,ESO,Flat Bed Fees,Late Fees,Transportation Adjust,Misc Fees,Grace Period
400510,Memphis Rule 5,MR5,Houston,Cotton Storage Inc,Alexandria,LA,,,,,,
406505,Memphis Rule 5,MR5,Houston,Cotton Warehouse of Concordia,Ferriday,LA,,,,,,
410020,Memphis Rule 5,MR5,Houston,Hollybrook Warehouse,Lake Providence,LA,,,,,,
413550,Memphis Rule 5,MR5,Houston,"The Kearney Companies, Inc.",New Orleans,LA,,,,,,
413551,Memphis Rule 5,MR5,Houston,The Kearney Company,New Orleans,LA,,,,,,
416010,Memphis Rule 5,MR5,Houston,Staplcotn/Rayville,Rayville,LA,,,,,,
417205,Memphis Rule 5,MR5,Houston,"Tensas Warehouse, Inc.",St. Joseph,LA,,,,,,
418515,Memphis Rule 5,MR5,Houston,Staplcotn/Tallulah Comp Warehouse,Tallulah,LA,,,,,,
420002,Memphis Rule 5,MR5,Houston,Franklin Cotton Warehouse,Winnsboro,LA,,,,,,
466466,Memphis Rule 5,MR5,Memphis,Scruggs Farm Warehouse,Saltillo,MS,,,,,,
467005,Memphis Rule 5,MR5,Memphis,FCW- Belzoni,Belzoni,MS,,,,,,24 hrs
470012,Memphis Rule 5,MR5,Memphis,North Delta Compress and Warehouse Company,Clarksdale,MS,,,,,,
476505,Memphis Rule 5,MR5,Memphis,FCW- Greenwood #1,Greenwood,MS,,,,,,24 hrs
476510,Memphis Rule 5,MR5,Memphis,Federal Compress Greenwood #2,Greenwood,MS,,,,,,24 hrs
476512,Memphis Rule 5,MR5,Memphis,Staplcotn/Rising Sun,Greenwood,MS,,,,,,
477005,Memphis Rule 5,MR5,Memphis,Federal Compress Grenada,Grenada,MS,,,,,,24 hrs
480505,Memphis Rule 5,MR5,Memphis,Staplcotn/Indianola,Indianola,MS,,,,,,
481005,Memphis Rule 5,MR5,Memphis,Federal Compress Inverness #1,Inverness,MS,,,,,,24 hrs
481010,Memphis Rule 5,MR5,Memphis,Federal Compress Inverness #2,Inverness,MS,,,,,,24 hrs
490150,Memphis Rule 5,MR5,Memphis,Anderson Clayton Desoto Warehouse,Olive Branch,MS,,,,,,
499502,Memphis Rule 5,MR5,Memphis,Staplcotn/Tunica,Tunica,MS,,,,,,
516004,Memphis Rule 5,MR5,Memphis,Caruthersville Cotton Warehouse,Caruthersville,MO,,,,,,
517010,Memphis Rule 5,MR5,Memphis,Federal Compress Hayti,Hayti,MO,,,,,,24 hrs
517813,Memphis Rule 5,MR5,Memphis,Sandy Ridge Cotton Warehouse,Malden,MO,,,,,,
886517,Memphis Rule 5,MR5,Memphis,Farmers Coop Compress #4,Lubbock,TX,1,1,0.25,,,3 days
518085,Memphis Rule 5,MR5,Memphis,Bootheel Cotton Warehouse,New Madrid,MO,,,,,,
518505,Memphis Rule 5,MR5,Memphis,Federal Compress Portageville,Portageville,MO,,,,,,24 hrs
518510,Memphis Rule 5,MR5,Memphis,Missouri Cotton Warehouse,Portageville,MO,,,,,,
536304,WTX,WTX,Los Angeles,Deming Bonded Warehouse,Deming,NM,,,,,,
538013,WTX,WTX,Los Angeles,Plains Cotton Cooperative Association,Lovington,NM,1,1,0.25,,,3 days
886520,WTX,WTX,Los Angeles,Farmers Coop Compress #5,Lubbock,TX,1,1,0.25,,,3 days
555225,Eastern Rule 5,ER5,Savannah,Rolling Hills Bonded Warehouse,New London,NC,,,,,,
558070,Eastern Rule 5,ER5,Savannah,Pitt County Gin and Cotton Co.,Bethel,NC,,,,,,
562665,Eastern Rule 5,ER5,Savannah,Cotton Growers Warehouses Inc,Chocowinity,NC,,,,,,
562865,Eastern Rule 5,ER5,Savannah,Clarkton Bonded Warehouse,Clarkton,NC,,,,,,
565545,Eastern Rule 5,ER5,Savannah,"Quality Bonded Warehouse, LLC",Dunn,NC,,,,,,
565803,Eastern Rule 5,ER5,Savannah,Elm City Warehouse,Elm City,NC,,,,,,
565805,Eastern Rule 5,ER5,Savannah,Silver Lake Bale Storage 1,Elm City,NC,,,,,,
565806,Eastern Rule 5,ER5,Savannah,Davis Bonded Warehouse,Hobgood,NC,,,,,,
565807,Eastern Rule 5,ER5,Savannah,Staplcotn- Edenton 2-3090,Edenton,NC,,,,,,
566501,Eastern Rule 5,ER5,Savannah,Albemarle Cotton Growers,Edenton,NC,,,,,,
566505,Eastern Rule 5,ER5,Savannah,Edenton Bonded Warehouse,Tyner,NC,,,,,,
568010,Eastern Rule 5,ER5,Savannah,Enfield Bonded Warehouse,Enfield,NC,,,,,,
568016,Eastern Rule 5,ER5,Savannah,Roanoke Tar Cotton Warehouse,Everetts,NC,,,,,,
568017,Eastern Rule 5,ER5,Savannah,Staplcotn Compress Warehouse,Erwin,NC,,,,,,
570240,Eastern Rule 5,ER5,Savannah,Stallings Farms Agribusiness,Herford,NC,,,,,,
570440,Eastern Rule 5,ER5,Savannah,Gaston Cooperative Inc,Garysburg,NC,,,,,,
570505,Eastern Rule 5,ER5,Savannah,P and M - Avon Bonded Warehouse,Gastonia,NC,,,,,,
570507,Eastern Rule 5,ER5,Savannah,Broad Street Bonded Warehouse,Gastonia,NC,,,,,,
570620,Eastern Rule 5,ER5,Savannah,Gates Cotton Gin Warehouse,Gates,NC,,,,,,
571536,Eastern Rule 5,ER5,Savannah,Ward & Nixon Warehouse,Gatesville,NC,,,,,,
576503,Eastern Rule 5,ER5,Savannah,Cotton Growers Warehouses Inc,Jackson,NC,,,,,,
577277,Eastern Rule 5,ER5,Savannah,Jones County Cotton Gin Inc,Trenton,NC,,,,,,
578010,Eastern Rule 5,ER5,Savannah,Harvey Gin and Cotton Company,Kinston,NC,,,,,,
582003,Eastern Rule 5,ER5,Savannah,Cotton Growers Warehouses Inc,Lumberton,NC,,,,,,
587875,Eastern Rule 5,ER5,Savannah,Producers Gin Bonded Warehouse,Murfreesboro,NC,,,,,,
589209,Eastern Rule 5,ER5,Savannah,"Sampson Gin Company, Inc.",Newton Grove,NC,,,,,,
590610,Eastern Rule 5,ER5,Savannah,Coastal Carolina Gin,Pantego,NC,,,,,,
593005,Eastern Rule 5,ER5,Savannah,Hoke Cotton Warehouse and Storage,Raeford,NC,,,,,,
596010,Eastern Rule 5,ER5,Savannah,Rosemary Bonded Warehouse,Roanoke Rapids,NC,,,,,,
600505,Eastern Rule 5,ER5,Savannah,Edwards Bonded Warehouse,Scotland Neck,NC,,,,,,
886506,Eastern Rule 5,ER5,Savannah,Farmers Cooperative Compress,Lubbock,TX,1,1,0.25,,,3 days
601006,Eastern Rule 5,ER5,Savannah,Roanoke Ag Bonded Warehouse,Weldon,NC,,,,,,
602005,Eastern Rule 5,ER5,Savannah,Royster PandM Warehouse,Shelby,NC,,,,,,
605515,Eastern Rule 5,ER5,Savannah,Edgecombe Bond Warehouse,Tarboro,NC,,,,,,
607540,Eastern Rule 5,ER5,Savannah,Roanoke Tar Cotton Warehouse-2-3083,Everetts,NC,,,,,,
607541,Eastern Rule 5,ER5,Savannah,Paxton Bonded Storage Firestone,Wilson,NC,,,,,,
611030,Eastern Rule 5,ER5,Savannah,Paxton Bonded Warehouse,Wilson,NC,,,,,,
631020,WTX,WTX,Dallas,Plains Cotton Cooperative Association,Altus,OK,1,1,0.25,,,3 days
676592,Eastern Rule 5,ER5,Savannah,General Warehouse and Storage Co,Bennettsville,SC,,,,,,
677503,Eastern Rule 5,ER5,Savannah,Cotton Growers Warehouse Inc,Bishopville,SC,,,,,,
682505,Eastern Rule 5,ER5,Savannah,Cameron Cotton and Seed Co,Cameron,SC,,,,,,
689560,Eastern Rule 5,ER5,Savannah,McInnis Bonded Warehouse,Clio,SC,,,,,,
702530,Eastern Rule 5,ER5,Savannah,"Elloree Gin Company, Inc.",Elloree,SC,,,,,,
710530,Eastern Rule 5,ER5,Savannah,Staple Cotton Cooperative Association,Greer,SC,,,,,,
712575,Eastern Rule 5,ER5,Savannah,"Humphrey Coker Seed Co., Inc",Hartsville,SC,,,,,,
720600,Eastern Rule 5,ER5,Savannah,Humphrey Coker Seed Co-lake City Whse,Lake City,SC,,,,,,
729020,Eastern Rule 5,ER5,Savannah,United Bonded Warehouse,Manning,SC,,,,,,
731205,Eastern Rule 5,ER5,Savannah,Minturn Bnd Cotton Warehouse,Dillion,SC,,,,,,
735030,Eastern Rule 5,ER5,Savannah,Culler Holstein Gin,North,SC,,,,,,
754585,Eastern Rule 5,ER5,Savannah,"Middling Cotton Co., Inc.",St. Matthews,SC,,,,,,
787010,Memphis Rule 5,MR5,Memphis,Hughes Warehouse,Brownsville,TN,,,,,,
787097,Memphis Rule 5,MR5,Memphis,Two Way Warehouse,Brownsville,TN,,,,,,
788008,Memphis Rule 5,MR5,Memphis,Kelcot Warehouses LLC,Covington,TN,,,,,,
788020,Memphis Rule 5,MR5,Memphis,Green Point Ag- was Tn Gin,Covington,TN,,,,,,
789505,Memphis Rule 5,MR5,Memphis,Elora Gin Warehouse,Elora,TN,,,,,,
790990,Memphis Rule 5,MR5,Memphis,Halls Gin Co Inc,Halls,TN,,,,,,
791730,Memphis Rule 5,MR5,Memphis,Humboldt Cotton Warehouse,Humboldt,TN,,,,,,
792025,Memphis Rule 5,MR5,Memphis,West Tennessee Warehouse,Jackson,TN,,,,,,
793960,Memphis Rule 5,MR5,Memphis,Mallory Cotton Warehouse Division-Memphis,Memphis,TN,,,,,,
793961,Memphis Rule 5,MR5,Memphis,Viterra USA-Cotton#1,Memphis,TN,,,,,,
793962,Memphis Rule 5,MR5,Memphis,Viterra USA LLC Cotton #2,Memphis,TN,,,,,,
794205,Memphis Rule 5,MR5,Memphis,Longtown Warehouse,Mason,TN,,,,,,
794505,Memphis Rule 5,MR5,Memphis,Cotton Trade Warehouse (Cargill Whse-Memphis),Memphis,TN,,,,,,
794540,Memphis Rule 5,MR5,Memphis,Memphis Compress Warehouse,Memphis,TN,,,,,,
794550,Memphis Rule 5,MR5,Memphis,Producers Warehouse #1,Memphis,TN,,,,,,
794553,Memphis Rule 5,MR5,Memphis,Producers Warehouse #3,Memphis,TN,,,,,,
794555,Memphis Rule 5,MR5,Memphis,Producers Warehouse #2,Memphis,TN,,,,,,
794560,Memphis Rule 5,MR5,Memphis,The Distribution Center,Memphis,TN,,,,,,
794598,Memphis Rule 5,MR5,Memphis,River CityWarehouse,Memphis,TN,,,,,,
795005,Memphis Rule 5,MR5,Memphis,Milan Compress Warehouse,Milan,TN,,,,,,
795007,Memphis Rule 5,MR5,Memphis,Total Commodity Warehouse,Memphis,TN,,,,,,
795026,Memphis Rule 5,MR5,Memphis,International Cotton Depots Plant 4,Memphis,TN,,,,,,
797660,Memphis Rule 5,MR5,Memphis,Oak Grove Gin and Warehouse LLC,Somerville,TN,,,,,,
810001,WTX,WTX,Dallas,FCC-High Plains Division Amarillo,Amarillo,TX,1,1,0.25,,,3 days
810002,WTX,WTX,Dallas,Amarillo Cotton Warehouse,Amarillo,TX,,,,,,
810003,WTX,WTX,Dallas,Amarillo Cotton Warehouse,Amarillo,TX,,,,,,
810535,WTX,WTX,Dallas,Amarillo Cotton Warehouse,Amarillo,TX,,,,,,
810537,WTX,WTX,Dallas,"City Gin Cotton Warehouse, LLC",Abernathy,TX,,,,,,
810538,WTX,WTX,Dallas,Amarillo Cotton Warehouse,Amarillo,TX,,,,,,
819202,STEX,STX,Houston,Cargill Cotton Baytown,Baytown,TX,,,,,,
820010,WTX,WTX,Dallas,Ballinger Cotton Warehouse Co.,Ballinger,TX,,,,,,
828031,WTX,WTX,Dallas,Brownfield Compress,Brownfield,TX,,,,,,
829535,STEX,STX,Houston,Taylor Compress #2 Bryan,Bryan,TX,,,,,,
829537,WTX,WTX,Dallas,Plains Cotton Cooperative Assoc,Big Spring,TX,1,1,0.25,,,3 days
840509,WTX,WTX,Dallas,Gulf Compress,Sweetwa-GULF,TX,1,1,,,,
840510,STEX,STX,Houston,Gulf Compress Unit #4,Portland,TX,1,1,,,,
840512,STEX,STX,Houston,Gulf Compress #1,Corpus Christi,TX,1,1,,,,
840513,STEX,STX,Houston,Gulf Compress #2,Corpus Christi,TX,1,1,,,,
840516,STEX,STX,Houston,Gulf Compress #10,Taylor,TX,1,1,,,,
843000,WTX,WTX,Dallas,"Suncot Warehouse, LLC",Denver City,TX,,,,,,
843002,WTX,WTX,Dallas,East Centre Park Cotton Warehouse,Desoto,TX,,,,,,
846847,WTX,WTX,Dallas,Olam dba Anderson Clayton - Dallas TX Warehouse #1,Dallas,TX,,,,,,
848548,STEX,STX,Houston,"United Agricultural Cooperative, Inc. Cotton Warehouse",El Campo,TX,,,,,,
853005,WTX,WTX,Dallas,Calcot LTD Warehouse,Fabens,TX,,,,,,
853007,WTX,WTX,Dallas,Ft Worth Commodity Warehouse,Ft Worth,TX,,,,,,
858053,STEX,STX,Houston,Moody Compress and Warehouse #1,Galveston,TX,,,,,,
858054,STEX,STX,Houston,Moody Compress and Warehouse #2,Galveston,TX,,,,,,
858055,STEX,STX,Houston,Moody Compress and Warehouse #3,Galveston,TX,,,,,,
858056,STEX,STX,Houston,Moody Compress and Warehouse #4,Galveston,TX,,,,,,
858063,STEX,STX,Houston,Moody Compress and Warehouse #6,Houston,TX,,,,,,
858065,STEX,STX,Houston,Southern Comp and Warehouse Co.,Galveston,TX,,,,,,
858078,WTX,WTX,Dallas,Glasscock County Co-Op Cotton Warehouses,Garden City,TX,,,,,,
866503,STEX,STX,Houston,Harlingen Compress Company,Harlingen,TX,,,,,,
866505,STEX,STX,Houston,Valley Compress Company,Harlingen,TX,,,,,,
867017,WTX,WTX,Dallas,Haskell Cotton Warehouse,Stamford,TX,,,,,,
871048,STEX,STX,Houston,Houston Commodity Warehouse,Houston,TX,,,,,,
871049,STEX,STX,Houston,Houston Commodity Warehouse #2,Houston,TX,,,,,,
875260,WTX,WTX,Dallas,Supply Chain Management- Desoto,Desoto,TX,,,,,,
880533,WTX,WTX,Dallas,Lamesa Warehouse,Lamesa,TX,,,,,,
882008,WTX,WTX,Dallas,FCC-Levelland Plant,Levelland,TX,,,,,,
884033,WTX,WTX,Dallas,HCC-Lockney Warehouse,Lockney,TX,,,,,,
136015,WTX,WTX,Dallas,Farmers First Gin Company,Dell,AR,1,1,0.25,,,3 days
304501,WTX,WTX,Dallas,Farmers Gin and Peanut Warehouse,Moultrie,GA,,,,,,
350503,WTX,WTX,Dallas,Farmers Gin and Stg Co,Wadley,GA,,,,,,
601004,WTX,WTX,Dallas,Farmers Peanut Bonded Warehouse,Seaboard,NC,,,,,,
