Warehouse	City	State	Name	County	Terms	Verified	Points	Recv	Strg	Load	Compr	Class	Mark	EffDate	Bales	Rail	ICE Ref	Capacity	CertLoad	CertCompr	CertMark	CertRecv	CertStrg	CertClass	Min Storage	Basis Adj.
326202	Statesboro	GA	Coffee County Gin co -Statesboro	Bulloch              	4	Yes	0.039	3	3	5	7.5	0	1	9/1/2025	0	no			0	0	0	0	0	0	0	
331015	Shellman	GA	The Peoples Warehouse	Randolph             	4	Yes	0.025	5	2.5	5	0	0	0	6/30/2025	0	no			0	0	0	0	0	0	0	
333503	Statesboro	GA	Southern States Coop	Bulloch              	4	Yes	0.022	3.5	2.5	4.5	0	0	0.5	9/1/2025	0	no			0	0	0	0	0	0	0	
335533	Taylorsville	GA	Tri County Gin Company	Bartow               	4	Yes	0.0239	3.25	2.7	5	0	0	1	3/17/2025	0	no			0	0	0	0	0	0	0	
337525	Surrency	GA	"Southeastern Gin, Inc."	Appling              	4	Yes	0.039	3	3	5	7.5	0	1	6/23/2025	0	no			0	0	0	0	0	0	0	
339007	Sycamore	GA	Sconyers Gin and Warehouse	Turner               	4	Yes	0.029	3.75	3.75	6	0	0	1	6/18/2025	0	no			0	0	0	0	0	0	0	
339733	Sylvania	GA	Screven Gin Co.	Screven              	4	Yes	0.021	2.5	2.5	4.5	0	0	1	7/7/2025	0	no			0	0	0	0	0	0	0	
340015	Sylvester	GA	"Worth Gin & Whse, Inc"	Worth                	4	Yes	0.029	4	3	6	0	0	1.5	7/21/2025	0	no			0	0	0	0	0	0	0	
340017	Savannah	GA	Staplcotn/Savannah	Chatham              	4	Yes	0.0378	1.85	3	4	7	3.05	0	9/1/2025	0	no			0	0	0	0	0	0	0	
340100	Tifton	GA	"Irwin County Whse, LLC - Tifton"	Tift                 	4	Yes	0.027	3.5	3.5	5.5	0	0	1	7/8/2025	5	no			0	0	0	0	0	0	0	
345008	Waynesboro	GA	"Collins Bonded Warehouse, Inc."	Burke                	4	Yes	0.02	3	2	5	0	0	0	6/9/2025	0	no			0	0	0	3	1.85	0	0	
347750	Vienna	GA	Planters Warehouse-Vienna	Dooly                	4	Yes	0.0105	0	4.25	0	0	0	1	7/23/2025	0	no			0	0	0	0	0	0	0	
349526	Vienna	GA	Vienna Cotton Co Inc	Dooly                	4	Yes	0.025	3.5	3	5	0	0	1	9/1/2025	114	yes			0	0	0	0	0	0	0	
349527	Vienna	GA	West Bonded Warehouse/Dooly Gin	Dooly                	4	Yes	0.022	3.5	2	5	0	0	0.5	9/1/2025	0	no			0	0	0	0	0	0	0	
349529	Byromville	GA	WSB Gin and Warehouse	Dooly                	4	Yes	0.025	3.5	2	5	0	0	2	11/19/2025	0	yes			0	0	0	0	0	0	0	
350503	Wadley	GA	Farmers Gin and Stg Co	Jefferson            	4	Yes	0.0192	2.5	1.6	4.5	0	0	1	3/7/2025	64	no			0	8.5	0	2.5	1.6	0	0	
